Start Station Name,End Station Name,Count
Métro Sherbrooke (de Rigaud / Berri),de l'Hôtel-de-Ville / Rachel,22
Métro Sherbrooke (de Rigaud / Berri),Métro Joliette  (Hochelaga / Joliette),3
Métro Sherbrooke (de Rigaud / Berri),Émile-Duployé / Rachel,34
Métro Sherbrooke (de Rigaud / Berri),Robert-Bourassa / St-Maurice,1
Métro Sherbrooke (de Rigaud / Berri),Métro St-Laurent (de Maisonneuve / St-Laurent),14
Métro Sherbrooke (de Rigaud / Berri),Rachel / de Brébeuf,36
Métro Sherbrooke (de Rigaud / Berri),Métro Mont-Royal (Utilités publiques / Rivard),22
Métro Sherbrooke (de Rigaud / Berri),du Parc-Lafontaine / Rachel,9
Métro Sherbrooke (de Rigaud / Berri),Masson / Molson,41
Métro Sherbrooke (de Rigaud / Berri),Métro Laurier (Berri / St-Joseph),4
Métro Sherbrooke (de Rigaud / Berri),Laurier / St-Denis,39
Métro Sherbrooke (de Rigaud / Berri),des Érables / Rachel,53
Métro Sherbrooke (de Rigaud / Berri),Cathcart / McGill College,7
Métro Sherbrooke (de Rigaud / Berri),9e avenue / Masson,3
Métro Sherbrooke (de Rigaud / Berri),Berri / Rachel,22
Métro Sherbrooke (de Rigaud / Berri),Garnier / du Mont-Royal,14
Métro Sherbrooke (de Rigaud / Berri),des Pins / St-Laurent,125
Métro Sherbrooke (de Rigaud / Berri),McTavish / Sherbrooke,16
Métro Sherbrooke (de Rigaud / Berri),Laurier / de Brébeuf,32
Métro Sherbrooke (de Rigaud / Berri),de Maisonneuve / Aylmer (ouest),6
Métro Sherbrooke (de Rigaud / Berri),Parc Jeanne-Mance (du Mont-Royal / du Parc),4
Jeanne-Mance / René-Lévesque,St-Laurent / Pl. du Marché,11
Jeanne-Mance / René-Lévesque,Métro Rosemont (de St-Vallier / Rosemont),1
du Mont-Royal / St-André,Dorion / Ontario,3
du Mont-Royal / St-André,Marché Jean-Talon (Casgrain / Shamrock),9
du Mont-Royal / St-André,Bernard / Jeanne-Mance,8
Hochelaga / Dézéry,Fullum / Marie-Anne,3
Hochelaga / Dézéry,Place Valois (Valois / Ontario),9
Marché Maisonneuve (Ontario / Morgan),Place Valois (Valois / Ontario),20
Marché Maisonneuve (Ontario / Morgan),Dorion / Ontario,7
Jeanne-Mance / René-Lévesque,du Mont-Royal / Clark,8
du Mont-Royal / St-André,Métro Sherbrooke (de Rigaud / Berri),8
du Mont-Royal / St-André,Parc du Père-Marquette (de Bellechasse / de Lanaudière),2
du Mont-Royal / St-André,St-Urbain / Laurier,22
du Mont-Royal / St-André,Roy / Saint-Laurent,20
du Mont-Royal / St-André,du Mont-Royal / Clark,13
du Mont-Royal / St-André,Milton / St-Laurent,17
Hochelaga / Dézéry,Roy / Saint-Laurent,1
Hochelaga / Dézéry,Aylwin / Ontario,12
Marché Maisonneuve (Ontario / Morgan),15e avenue / Laurier,16
Marché Maisonneuve (Ontario / Morgan),de Maisonneuve / Aylmer (est),1
Marché Maisonneuve (Ontario / Morgan),Aylwin / Ontario,26
du Mont-Royal / St-André,Marché Maisonneuve (Ontario / Morgan),24
du Mont-Royal / St-André,Marché St-Jacques (Atateken),44
du Mont-Royal / St-André,Émile-Duployé / Rachel,16
du Mont-Royal / St-André,Hochelaga / Dézéry,7
Hochelaga / Dézéry,Marché Maisonneuve (Ontario / Morgan),3
Hochelaga / Dézéry,Métro Frontenac (Ontario / du Havre),3
Marché Maisonneuve (Ontario / Morgan),Marché St-Jacques (Atateken),3
Marché Maisonneuve (Ontario / Morgan),Métro Mont-Royal (Utilités publiques / Rivard),4
Marché Maisonneuve (Ontario / Morgan),Métro Papineau (Dorion / De Maisonneuve),4
Marché Maisonneuve (Ontario / Morgan),Métro Frontenac (Ontario / du Havre),10
Jeanne-Mance / René-Lévesque,Square-Victoria (Viger / du Square-Victoria),3
Jeanne-Mance / René-Lévesque,Smith / Peel,16
Jeanne-Mance / René-Lévesque,Ottawa / du Séminaire,1
Jeanne-Mance / René-Lévesque,Peel / Notre-Dame,4
du Mont-Royal / St-André,Masson / Molson,9
du Mont-Royal / St-André,Viger / Chenneville,22
du Mont-Royal / St-André,Ste-Catherine / Union,3
du Mont-Royal / St-André,du Parc-Lafontaine / Rachel,6
du Mont-Royal / St-André,Cartier / Marie-Anne,34
Hochelaga / Dézéry,Cartier / Marie-Anne,1
Hochelaga / Dézéry,Masson / Molson,6
Hochelaga / Dézéry,du Mont-Royal / St-André,6
Marché Maisonneuve (Ontario / Morgan),Métro Pie-IX (Pierre-de-Coubertin / Desjardins),66
Marché Maisonneuve (Ontario / Morgan),du Parc-Lafontaine / Rachel,19
Marché Maisonneuve (Ontario / Morgan),du Mont-Royal / St-André,15
Marché Maisonneuve (Ontario / Morgan),Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud),5
Marché Maisonneuve (Ontario / Morgan),Métro Radisson (Sherbrooke / des Groseilliers),2
Marché Maisonneuve (Ontario / Morgan),Masson / Molson,12
du Mont-Royal / St-André,Messier / St-Joseph,5
Hochelaga / Dézéry,Berri / de Maisonneuve,5
Jeanne-Mance / René-Lévesque,Jeanne-Mance / René-Lévesque,45
du Mont-Royal / St-André,Laurier / St-Denis,8
du Mont-Royal / St-André,BAnQ (Berri),9
du Mont-Royal / St-André,des Érables / Rachel,53
du Mont-Royal / St-André,Christophe-Colomb / Beaubien,9
Marché Maisonneuve (Ontario / Morgan),Fabrik8 (Waverly / Jean-Talon),3
Marché Maisonneuve (Ontario / Morgan),Bennett / Ste-Catherine,7
Jeanne-Mance / René-Lévesque,Métro Peel (de Maisonneuve / Stanley),3
Jeanne-Mance / René-Lévesque,Garnier / du Mont-Royal,4
du Mont-Royal / St-André,Garnier / du Mont-Royal,40
du Mont-Royal / St-André,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),3
du Mont-Royal / St-André,Clark / Ontario,4
du Mont-Royal / St-André,St-Grégoire / Christophe-Colomb,5
du Mont-Royal / St-André,9e avenue / Masson,19
du Mont-Royal / St-André,Berri / Rachel,9
du Mont-Royal / St-André,Omer-Lavallée / du Midway,1
Hochelaga / Dézéry,St-Grégoire / Christophe-Colomb,1
Hochelaga / Dézéry,9e avenue / Masson,7
Hochelaga / Dézéry,Garnier / du Mont-Royal,1
Marché Maisonneuve (Ontario / Morgan),9e avenue / Masson,26
Jeanne-Mance / René-Lévesque,St-Jacques / McGill,10
Jeanne-Mance / René-Lévesque,de Maisonneuve / de Bleury,9
Jeanne-Mance / René-Lévesque,de Maisonneuve / Aylmer (ouest),4
du Mont-Royal / St-André,Laurier / de Brébeuf,25
du Mont-Royal / St-André,McTavish / Sherbrooke,9
du Mont-Royal / St-André,des Pins / St-Laurent,20
du Mont-Royal / St-André,de Maisonneuve / de Bleury,4
du Mont-Royal / St-André,René-Lévesque / Papineau,3
Hochelaga / Dézéry,de Maisonneuve / Fullum,3
Hochelaga / Dézéry,René-Lévesque / Papineau,14
Marché Maisonneuve (Ontario / Morgan),de Maisonneuve / de Bleury,5
Marché Maisonneuve (Ontario / Morgan),Molson / William-Tremblay,1
Marché Maisonneuve (Ontario / Morgan),de Maisonneuve / Aylmer (ouest),1
Marché Maisonneuve (Ontario / Morgan),Cégep du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),5
Marché Maisonneuve (Ontario / Morgan),René-Lévesque / Papineau,13
Marché Maisonneuve (Ontario / Morgan),Ontario / Ville-Marie,23
Parc Beaubien Outremont (Stuart / St-Viateur),Bernard / Jeanne-Mance,13
Notre-Dame / St-Gabriel,Square-Victoria (Viger / du Square-Victoria),5
Notre-Dame / St-Gabriel,Ste-Catherine / Union,4
Notre-Dame / St-Gabriel,Ste-Catherine / Towers,28
Notre-Dame / St-Gabriel,St-Jacques / McGill,19
Parc Beaubien Outremont (Stuart / St-Viateur),de Maisonneuve / Aylmer (ouest),17
Parc Beaubien Outremont (Stuart / St-Viateur),Parc Beaubien Outremont (Stuart / St-Viateur),10
Métro Parc  (Hutchison / Ogilvy),Bernard / Jeanne-Mance,29
Métro Parc  (Hutchison / Ogilvy),Pierre-de-Coubertin / Aird,3
Métro Parc  (Hutchison / Ogilvy),Marché Jean-Talon (Casgrain / Shamrock),22
Métro Parc  (Hutchison / Ogilvy),Chabanel / du Parc,33
Métro Verdun (Willibrord / de Verdun),Métro Lionel-Groulx (St-Jacques / Atwater),1
Métro Verdun (Willibrord / de Verdun),Regina / de Verdun,5
Métro Parc  (Hutchison / Ogilvy),Parc Molson (d'Iberville / Beaubien),1
Métro Parc  (Hutchison / Ogilvy),du Mont-Royal / Clark,12
Métro Parc  (Hutchison / Ogilvy),Collège de Rosemont (Beaubien / 15e avenue),6
Métro Parc  (Hutchison / Ogilvy),Clark / de l'Arcade,8
Métro Parc  (Hutchison / Ogilvy),Émery / St-Denis,1
Métro Parc  (Hutchison / Ogilvy),Métro Radisson (Sherbrooke / des Groseilliers),11
Métro Parc  (Hutchison / Ogilvy),des Érables / Laurier,13
Métro Verdun (Willibrord / de Verdun),Smith / Peel,3
Métro Parc  (Hutchison / Ogilvy),Parc de Turin (de Lanaudière / Jean-Talon),1
Métro Parc  (Hutchison / Ogilvy),Métro Laurier (Berri / St-Joseph),14
Métro Parc  (Hutchison / Ogilvy),Gary-Carter / St-Laurent,13
Métro Parc  (Hutchison / Ogilvy),Fabrik8 (Waverly / Jean-Talon),6
Métro Parc  (Hutchison / Ogilvy),de Gaspé / Marmier,1
Métro Parc  (Hutchison / Ogilvy),BAnQ (Berri),7
Métro Parc  (Hutchison / Ogilvy),Laurier / St-Denis,2
Métro Parc  (Hutchison / Ogilvy),Christophe-Colomb / Beaubien,19
Métro Verdun (Willibrord / de Verdun),Melrose / de Verdun,92
Métro Verdun (Willibrord / de Verdun),Beurling / Godin,2
Métro Parc  (Hutchison / Ogilvy),Gare d'autocars de Montréal (Berri / Ontario),2
Métro Verdun (Willibrord / de Verdun),Duke / Nazareth,8
Métro Parc  (Hutchison / Ogilvy),Métro Parc  (Hutchison / Ogilvy),18
Métro Verdun (Willibrord / de Verdun),LaSalle / Godin,33
Fabrik8 (Waverly / Jean-Talon),Marché Jean-Talon (Casgrain / Shamrock),25
Fabrik8 (Waverly / Jean-Talon),Parc Molson (d'Iberville / Beaubien),8
Fabrik8 (Waverly / Jean-Talon),St-Urbain / Laurier,9
du Parc-Lafontaine / Rachel,Square Viger (Berri / Viger),25
du Parc-Lafontaine / Rachel,Métro Joliette  (Hochelaga / Joliette),6
du Parc-Lafontaine / Rachel,Roy / Saint-Laurent,12
du Parc-Lafontaine / Rachel,du Mont-Royal / Clark,7
Fabrik8 (Waverly / Jean-Talon),Clark / de l'Arcade,16
Fabrik8 (Waverly / Jean-Talon),Marquette / des Carrières,24
du Parc-Lafontaine / Rachel,Émile-Duployé / Rachel,34
du Parc-Lafontaine / Rachel,Marquette / des Carrières,5
du Parc-Lafontaine / Rachel,Marché St-Jacques (Atateken),45
du Parc-Lafontaine / Rachel,Métro Mont-Royal (Utilités publiques / Rivard),34
du Parc-Lafontaine / Rachel,Métro St-Laurent (de Maisonneuve / St-Laurent),6
du Parc-Lafontaine / Rachel,Cartier / Marie-Anne,26
du Parc-Lafontaine / Rachel,Ste-Catherine / Union,3
du Parc-Lafontaine / Rachel,Square-Victoria (Viger / du Square-Victoria),20
du Parc-Lafontaine / Rachel,Masson / Molson,5
du Parc-Lafontaine / Rachel,Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud),30
Fabrik8 (Waverly / Jean-Talon),Métro Beaubien (de St-Vallier / Beaubien),18
du Parc-Lafontaine / Rachel,Métro Laurier (Berri / St-Joseph),13
du Parc-Lafontaine / Rachel,Garnier / Beaubien,8
du Parc-Lafontaine / Rachel,Place du Canada (Peel / des Canadiens-de-Montréal),2
du Parc-Lafontaine / Rachel,CHSLD Robert Cliche (de Bellechasse / 16e avenue),3
Fabrik8 (Waverly / Jean-Talon),Christophe-Colomb / Beaubien,14
Fabrik8 (Waverly / Jean-Talon),Fabrik8 (Waverly / Jean-Talon),12
du Parc-Lafontaine / Rachel,Lajeunesse / Villeray,3
du Parc-Lafontaine / Rachel,des Érables / Rachel,26
du Parc-Lafontaine / Rachel,Berri / Rachel,25
du Parc-Lafontaine / Rachel,Molson / William-Tremblay,15
du Parc-Lafontaine / Rachel,de Maisonneuve / Fullum,19
du Parc-Lafontaine / Rachel,des Pins / St-Laurent,13
Parc de Turin (de Lanaudière / Jean-Talon),Marché Jean-Talon (Casgrain / Shamrock),3
Parc de Turin (de Lanaudière / Jean-Talon),Parc du Père-Marquette (de Bellechasse / de Lanaudière),1
Parc de Turin (de Lanaudière / Jean-Talon),15e avenue / Laurier,1
Parc de Turin (de Lanaudière / Jean-Talon),St-Urbain / Laurier,1
Parc de Turin (de Lanaudière / Jean-Talon),Métro Mont-Royal (Utilités publiques / Rivard),2
Parc de Turin (de Lanaudière / Jean-Talon),Marquette / des Carrières,2
Parc de Turin (de Lanaudière / Jean-Talon),BIXI K5,5
Parc de Turin (de Lanaudière / Jean-Talon),Cartier / Marie-Anne,1
Parc de Turin (de Lanaudière / Jean-Talon),Parc de Turin (de Lanaudière / Jean-Talon),3
Parc de Turin (de Lanaudière / Jean-Talon),Métro Crémazie (Crémazie / Lajeunesse),3
Parc de Turin (de Lanaudière / Jean-Talon),Laurier / St-Denis,1
Parc de Turin (de Lanaudière / Jean-Talon),Christophe-Colomb / Beaubien,2
Parc de Turin (de Lanaudière / Jean-Talon),Lajeunesse / Villeray,1
Parc de Turin (de Lanaudière / Jean-Talon),des Érables / Rachel,1
Parc de Turin (de Lanaudière / Jean-Talon),Garnier / du Mont-Royal,1
Parc de Turin (de Lanaudière / Jean-Talon),St-Viateur / Casgrain,2
Parc de Turin (de Lanaudière / Jean-Talon),Jacques-Casault / Christophe-Colomb,1
Parc de Turin (de Lanaudière / Jean-Talon),St-Antoine / Jean-Paul Riopelle,1
Parc de Turin (de Lanaudière / Jean-Talon),Laurier / de Brébeuf,1
Ste-Catherine / Bishop,St-Laurent / Pl. du Marché,14
Ste-Catherine / Bishop,Marché Jean-Talon (Casgrain / Shamrock),1
Ste-Catherine / Bishop,Métro Lionel-Groulx (St-Jacques / Atwater),5
Ste-Catherine / Bishop,Fullum / Marie-Anne,1
Marché St-Jacques (Atateken),6e Avenue / Bélanger,1
Marché St-Jacques (Atateken),Dorion / Ontario,88
Marché St-Jacques (Atateken),Place Valois (Valois / Ontario),5
Marché St-Jacques (Atateken),St-Laurent / Pl. du Marché,13
Marché St-Jacques (Atateken),Frontenac / Ste-Catherine,6
Marché St-Jacques (Atateken),Métro Lionel-Groulx (St-Jacques / Atwater),1
Métro Jolicoeur (de Sève / Drake),Métro Verdun (Willibrord / de Verdun),1
Beurling / Godin,Métro Verdun (Willibrord / de Verdun),2
Beurling / Godin,Métro Jolicoeur (de Sève / Drake),17
Fabre / Jean-Talon,Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),7
Fabre / Jean-Talon,Marché Jean-Talon (Casgrain / Shamrock),18
Fabre / Jean-Talon,Fullum / Marie-Anne,1
Parc Jeanne-Mance (du Mont-Royal / du Parc),Dorion / Ontario,8
Parc Jeanne-Mance (du Mont-Royal / du Parc),Fullum / Marie-Anne,7
Parc Jeanne-Mance (du Mont-Royal / du Parc),Bernard / Jeanne-Mance,18
Émile-Duployé / Rachel,Dorion / Ontario,14
Émile-Duployé / Rachel,Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),2
Laurier / de Brébeuf,Fullum / Marie-Anne,31
Laurier / de Brébeuf,Dorion / Ontario,18
Laurier / de Brébeuf,Bernard / Jeanne-Mance,39
Laurier / de Brébeuf,Marché Jean-Talon (Casgrain / Shamrock),25
Laurier / de Brébeuf,de Marseille / de la Pépinière,1
Laurier / de Brébeuf,du Mont-Royal / de Brébeuf,54
Laurier / de Brébeuf,Place Valois (Valois / Ontario),6
Notre-Dame / St-Martin,Métro Lionel-Groulx (St-Jacques / Atwater),21
Notre-Dame / St-Martin,Atwater / Greene,30
Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud),Dorion / Ontario,121
Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud),Frontenac / Ste-Catherine,11
Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud),Fullum / Marie-Anne,13
Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud),Métro Jolicoeur (de Sève / Drake),2
Square Viger (Berri / Viger),Fullum / Marie-Anne,34
Square Viger (Berri / Viger),St-Laurent / Pl. du Marché,8
Beaubien / 8e avenue,Bernard / Jeanne-Mance,1
Beaubien / 8e avenue,Métro Rosemont (de St-Vallier / Rosemont),32
Beaubien / 8e avenue,Bibliothèque et Complexe aquatique Rosemont (8e avenue / Rosemont),2
des Barges / des Bassins,Atwater / Greene,4
des Barges / des Bassins,Bernard / Jeanne-Mance,1
des Barges / des Bassins,Métro Lionel-Groulx (St-Jacques / Atwater),14
de Maisonneuve / Fullum,Pierre-de-Coubertin / Aird,1
de Maisonneuve / Fullum,Place Valois (Valois / Ontario),3
de Maisonneuve / Fullum,Fullum / Marie-Anne,3
de Maisonneuve / Fullum,Métro Viau (Pierre-de-Coubertin / Viau),4
de Maisonneuve / Fullum,du Mont-Royal / de Brébeuf,1
