Start Station Name,End Station Name,Count,Total Duration
du Mont-Royal / St-André,Roy / Saint-Laurent,20,50552753
du Mont-Royal / St-André,du Mont-Royal / Clark,13,5859683
du Mont-Royal / St-André,Milton / St-Laurent,17,12343207
Hochelaga / Dézéry,Roy / Saint-Laurent,1,1587995
Hochelaga / Dézéry,Aylwin / Ontario,12,3868165
Marché Maisonneuve (Ontario / Morgan),15e avenue / Laurier,16,21375617
Marché Maisonneuve (Ontario / Morgan),de Maisonneuve / Aylmer (est),1,1966405
Marché Maisonneuve (Ontario / Morgan),Aylwin / Ontario,26,17263070
du Mont-Royal / St-André,Marché Maisonneuve (Ontario / Morgan),24,37726399
du Mont-Royal / St-André,Marché St-Jacques (Atateken),44,68913521
du Mont-Royal / St-André,Émile-Duployé / Rachel,16,8235550
du Mont-Royal / St-André,Hochelaga / Dézéry,7,6795525
Hochelaga / Dézéry,Marché Maisonneuve (Ontario / Morgan),3,1888953
Hochelaga / Dézéry,Métro Frontenac (Ontario / du Havre),3,2257878
Marché Maisonneuve (Ontario / Morgan),Marché St-Jacques (Atateken),3,3697677
Marché Maisonneuve (Ontario / Morgan),Métro Mont-Royal (Utilités publiques / Rivard),4,8294655
Marché Maisonneuve (Ontario / Morgan),Métro Papineau (Dorion / De Maisonneuve),4,4750866
Marché Maisonneuve (Ontario / Morgan),Métro Frontenac (Ontario / du Havre),10,8513999
Jeanne-Mance / René-Lévesque,Square-Victoria (Viger / du Square-Victoria),3,4170925
Jeanne-Mance / René-Lévesque,Smith / Peel,16,14340574
Jeanne-Mance / René-Lévesque,Ottawa / du Séminaire,1,660231
Jeanne-Mance / René-Lévesque,Peel / Notre-Dame,4,3028092
du Mont-Royal / St-André,Masson / Molson,9,10521452
du Mont-Royal / St-André,Viger / Chenneville,22,22157664
du Mont-Royal / St-André,Ste-Catherine / Union,3,3223624
du Mont-Royal / St-André,du Parc-Lafontaine / Rachel,6,3494123
du Mont-Royal / St-André,Cartier / Marie-Anne,34,13300808
Hochelaga / Dézéry,Cartier / Marie-Anne,1,735787
Hochelaga / Dézéry,Masson / Molson,6,4809439
Hochelaga / Dézéry,du Mont-Royal / St-André,6,6084179
Marché Maisonneuve (Ontario / Morgan),Métro Pie-IX (Pierre-de-Coubertin / Desjardins),66,25698505
Marché Maisonneuve (Ontario / Morgan),du Parc-Lafontaine / Rachel,19,34618904
Marché Maisonneuve (Ontario / Morgan),du Mont-Royal / St-André,15,26825205
Marché Maisonneuve (Ontario / Morgan),Parc Émilie-Gamelin (St-Hubert / de Maisonneuve sud),5,8626876
Marché Maisonneuve (Ontario / Morgan),Métro Radisson (Sherbrooke / des Groseilliers),2,5112735
Marché Maisonneuve (Ontario / Morgan),Masson / Molson,12,22683409
du Mont-Royal / St-André,Messier / St-Joseph,5,3655932
Hochelaga / Dézéry,Berri / de Maisonneuve,5,6662465
Jeanne-Mance / René-Lévesque,Jeanne-Mance / René-Lévesque,45,32721720
du Mont-Royal / St-André,Laurier / St-Denis,8,6774740
du Mont-Royal / St-André,BAnQ (Berri),9,5537267
du Mont-Royal / St-André,des Érables / Rachel,53,36628996
du Mont-Royal / St-André,Christophe-Colomb / Beaubien,9,7405016
Marché Maisonneuve (Ontario / Morgan),Fabrik8 (Waverly / Jean-Talon),3,8430901
Marché Maisonneuve (Ontario / Morgan),Bennett / Ste-Catherine,7,3465514
Jeanne-Mance / René-Lévesque,Métro Peel (de Maisonneuve / Stanley),3,2119010
Jeanne-Mance / René-Lévesque,Garnier / du Mont-Royal,4,5673871
du Mont-Royal / St-André,Garnier / du Mont-Royal,40,67358127
du Mont-Royal / St-André,Parc Jeanne-Mance (monument sir George-Étienne-Cartier),3,1581557
du Mont-Royal / St-André,Clark / Ontario,4,3770539
du Mont-Royal / St-André,St-Grégoire / Christophe-Colomb,5,4264397
du Mont-Royal / St-André,9e avenue / Masson,19,21805100
du Mont-Royal / St-André,Berri / Rachel,9,7485389
du Mont-Royal / St-André,Omer-Lavallée / du Midway,1,1450636
